Start Count: 0
Watching for changes in count...  Use Ctrl-C to Exit.

|Query Number|Sample Number|Epoch (ms)    |Time (s) |Count             |Linear Reg. Rate  |Rate From Previous|Rate From First   |
|------------|-------------|--------------|---------|------------------|------------------|------------------|------------------|
|          1 |           1 |1558697322428 |       0 |        2,494,494 |                  |                  |                  |
|          2 |           2 |1558697332431 |      10 |        3,906,756 |          141,184 |          141,184 |          141,184 |
|          3 |       ***** |1558697342427 |      19 |        3,906,756 |          141,184 |                0 |           70,617 |
|          4 |       ***** |1558697352433 |      30 |        3,906,756 |          141,184 |                0 |           47,068 |
|          5 |       ***** |1558697362426 |      39 |        3,906,756 |          141,184 |                0 |           35,308 |
|          6 |       ***** |1558697372471 |      50 |        3,906,756 |          141,184 |                0 |           28,221 |
|          7 |       ***** |1558697382427 |      59 |        3,906,756 |          141,184 |                0 |           23,538 |
|          8 |           3 |1558697392429 |      70 |       10,660,637 |          115,231 |          112,568 |          116,658 |
|          9 |       ***** |1558697402440 |      80 |       10,660,637 |          115,231 |                0 |          102,061 |
|         10 |       ***** |1558697412429 |      90 |       10,660,637 |          115,231 |                0 |           90,734 |
|         11 |       ***** |1558697422427 |      99 |       10,660,637 |          115,231 |                0 |           81,662 |
|         12 |       ***** |1558697432427 |     109 |       10,660,637 |          115,231 |                0 |           74,238 |
|         13 |       ***** |1558697442427 |     119 |       10,660,637 |          115,231 |                0 |           68,052 |
|         14 |           4 |1558697452429 |     130 |       14,109,340 |           90,395 |           57,478 |           89,344 |
|         15 |           5 |1558697462431 |     140 |       16,241,961 |           92,616 |          213,219 |           98,194 |
|         16 |           6 |1558697472428 |     150 |       17,030,762 |           93,031 |           78,904 |           96,908 |
|         17 |       ***** |1558697482428 |     160 |       17,030,762 |           93,031 |                0 |           90,852 |
|         18 |       ***** |1558697492432 |     170 |       17,030,762 |           93,031 |                0 |           85,505 |
|         19 |       ***** |1558697502428 |     180 |       17,030,762 |           93,031 |                0 |           80,757 |
|         20 |       ***** |1558697512427 |     189 |       17,030,762 |           93,031 |                0 |           76,507 |
|         21 |           7 |1558697522429 |     200 |       19,312,877 |           86,321 |           45,641 |           84,091 |
|         22 |           8 |1558697532432 |     210 |       23,426,363 |           90,564 |          411,225 |           99,674 |
|         23 |           9 |1558697542429 |     220 |       24,274,618 |           92,733 |           84,851 |           99,000 |
|         24 |       ***** |1558697552429 |     230 |       24,274,618 |           92,733 |                0 |           94,696 |
|         25 |       ***** |1558697562443 |     240 |       24,274,618 |           92,733 |                0 |           90,745 |
|         26 |       ***** |1558697572487 |     250 |       24,274,618 |           92,733 |                0 |           87,100 |
|         27 |       ***** |1558697582429 |     260 |       24,274,618 |           92,733 |                0 |           83,769 |
|         28 |          10 |1558697592429 |     270 |       27,421,658 |           91,707 |           62,941 |           92,322 |
|         29 |          11 |1558697602431 |     280 |       30,422,486 |           94,072 |          300,023 |           99,742 |
|         30 |          12 |1558697612430 |     290 |       31,172,327 |           95,289 |           74,992 |           98,888 |
|         31 |       ***** |1558697622428 |     300 |       31,172,327 |           95,289 |                0 |           95,593 |
|         32 |       ***** |1558697632432 |     310 |       31,172,327 |           95,289 |                0 |           92,508 |
|         33 |       ***** |1558697642429 |     320 |       31,172,327 |           95,289 |                0 |           89,618 |
|         34 |       ***** |1558697652431 |     330 |       31,172,327 |           95,289 |                0 |           86,902 |
|         35 |          13 |1558697662430 |     340 |       35,656,757 |           95,916 |           89,689 |           97,535 |
|         36 |          14 |1558697672431 |     350 |       37,258,400 |           96,916 |          160,148 |           99,325 |
|         37 |          15 |1558697682431 |     360 |       38,039,272 |           97,419 |           78,087 |           98,735 |
|         38 |       ***** |1558697692433 |     370 |       38,039,272 |           97,419 |                0 |           96,066 |
|         39 |       ***** |1558697702446 |     380 |       38,039,272 |           97,419 |                0 |           93,534 |
|         40 |       ***** |1558697712431 |     390 |       38,039,272 |           97,419 |                0 |           91,140 |
|         41 |          16 |1558697722431 |     400 |       40,931,766 |           96,997 |           72,312 |           96,092 |
|         42 |          17 |1558697732440 |     410 |       42,389,355 |           97,053 |          145,628 |           97,302 |
|         43 |          18 |1558697742431 |     420 |       44,644,874 |           97,879 |          225,755 |          100,357 |
|         44 |       ***** |1558697752435 |     430 |       44,644,874 |           97,879 |                0 |           98,023 |
|         45 |       ***** |1558697762433 |     440 |       44,644,874 |           97,879 |                0 |           95,795 |
|         46 |       ***** |1558697772434 |     450 |       44,644,874 |           97,879 |                0 |           93,666 |
|         47 |       ***** |1558697782432 |     460 |       44,644,874 |           97,879 |                0 |           91,630 |
|         48 |          19 |1558697792432 |     470 |       47,541,057 |           97,330 |           57,923 |           95,843 |
|         49 |          20 |1558697802432 |     480 |       51,269,485 |           98,447 |          372,843 |          101,614 |
|         50 |       ***** |1558697812434 |     490 |       51,269,485 |           98,447 |                0 |           99,540 |
|         51 |       ***** |1558697822434 |     500 |       51,269,485 |           98,447 |                0 |           97,549 |
|         52 |       ***** |1558697832432 |     510 |       51,269,485 |           98,447 |                0 |           95,636 |
|         53 |       ***** |1558697842433 |     520 |       51,269,485 |           98,447 |                0 |           93,797 |
|         54 |          21 |1558697852435 |     530 |       52,040,222 |           97,114 |           15,414 |           93,481 |
|         55 |          22 |1558697862435 |     540 |       55,102,992 |           97,161 |          306,277 |           97,422 |
|         56 |          23 |1558697872436 |     550 |       57,206,595 |           97,668 |          210,339 |           99,475 |
|         57 |          24 |1558697882435 |     560 |       57,959,514 |           97,971 |           75,299 |           99,043 |
|         58 |       ***** |1558697892437 |     570 |       57,959,514 |           97,971 |                0 |           97,306 |
|         59 |       ***** |1558697902435 |     580 |       57,959,514 |           97,971 |                0 |           95,628 |
|         60 |       ***** |1558697912443 |     590 |       57,959,514 |           97,971 |                0 |           94,006 |
|         61 |          25 |1558697922436 |     600 |       58,753,118 |           97,071 |           19,840 |           93,763 |
