Watching for changes in count...  Use Ctrl-C to Exit.
|Sample Number|Epoch|Count|Linear Regression Rate|Approx. Instantaneous Rate|
|-------------|-----|-----|----------------------|--------------------------|
| 1 | 1558654080741 | 8849 |           |           |
| 2 | 1558654085737 | 423944 | 83085 | 83085 |
| 3 | 1558654090737 | 949239 | 94078 | 105059 |
| 4 | 1558654095743 | 1460553 | 97598 | 102140 |
| 5 | 1558654100743 | 1895228 | 96169 | 86935 |
| 6 | 1558654105741 | 2407900 | 96675 | 102575 |
| 7 | 1558654110737 | 2952169 | 98169 | 108941 |
| 8 | 1558654115738 | 3410488 | 98248 | 91645 |
| 9 | 1558654120742 | 3942336 | 98821 | 106285 |
| 10 | 1558654125737 | 4402018 | 98743 | 92028 |
| 11 | 1558654130739 | 4953383 | 99222 | 110229 |
| 12 | 1558654135738 | 5423709 | 99301 | 94084 |
| 13 | 1558654140739 | 5910288 | 99283 | 97296 |
| 14 | 1558654145739 | 6469149 | 99628 | 111772 |
| 15 | 1558654150739 | 6864030 | 99336 | 78976 |
| 16 | 1558654155739 | 7458556 | 99573 | 118905 |
| 17 | 1558654160739 | 7939862 | 99670 | 96261 |
| 18 | 1558654165740 | 8346573 | 99416 | 81326 |
| 19 | 1558654170744 | 8979536 | 99663 | 126491 |
| 20 | 1558654175742 | 9437875 | 99729 | 91704 |
| 21 | 1558654180741 | 9839420 | 99525 | 80325 |
| 22 | 1558654185742 | 10479021 | 99709 | 127895 |
| 23 | 1558654190742 | 10957330 | 99805 | 95662 |
| 24 | 1558654195744 | 11364615 | 99695 | 81424 |
| 25 | 1558654200742 | 11916892 | 99709 | 110500 |
| 26 | 1558654205742 | 12490511 | 99848 | 114724 |
| 27 | 1558654210742 | 12902440 | 99820 | 82386 |
| 28 | 1558654215742 | 13343952 | 99713 | 88302 |
| 29 | 1558654220744 | 13985059 | 99822 | 128170 |
| 30 | 1558654225743 | 14470031 | 99893 | 97014 |
| 31 | 1558654230743 | 14877982 | 99841 | 81590 |
| 32 | 1558654235742 | 15346307 | 99763 | 93684 |
| 33 | 1558654240743 | 15999299 | 99862 | 130572 |
| 34 | 1558654245743 | 16470521 | 99917 | 94244 |
| 35 | 1558654250743 | 16880432 | 99878 | 81982 |
| 36 | 1558654255743 | 17340376 | 99809 | 91989 |
| 37 | 1558654260744 | 17986525 | 99877 | 129204 |
| 38 | 1558654265744 | 18489225 | 99936 | 100540 |
| 39 | 1558654270753 | 18900842 | 99919 | 82175 |
| 40 | 1558654275752 | 19333690 | 99856 | 86587 |
| 41 | 1558654280744 | 19920753 | 99863 | 117601 |
| 42 | 1558654285748 | 20516885 | 99933 | 119131 |
| 43 | 1558654290745 | 20948045 | 99950 | 86284 |
| 44 | 1558654295744 | 21359305 | 99912 | 82268 |
| 45 | 1558654300745 | 21836829 | 99866 | 95486 |
| 46 | 1558654305755 | 22487859 | 99909 | 129946 |
| 47 | 1558654310744 | 23004905 | 99957 | 103637 |
| 48 | 1558654315744 | 23420986 | 99956 | 83216 |
| 49 | 1558654320746 | 23845063 | 99918 | 84781 |
| 50 | 1558654325745 | 24347980 | 99886 | 100604 |
| 51 | 1558654330745 | 25002827 | 99929 | 130969 |
| 52 | 1558654335745 | 25505753 | 99967 | 100585 |
| 53 | 1558654340746 | 25921258 | 99967 | 83084 |
| 54 | 1558654345745 | 26344576 | 99935 | 84681 |
| 55 | 1558654350745 | 26842118 | 99906 | 99508 |
| 56 | 1558654355744 | 27481346 | 99932 | 127871 |
| 57 | 1558654360744 | 28015760 | 99969 | 106883 |
| 58 | 1558654365745 | 28439904 | 99975 | 84812 |
| 59 | 1558654370752 | 28860331 | 99954 | 83968 |
| 60 | 1558654375745 | 29332351 | 99925 | 94536 |
| 61 | 1558654380747 | 29927807 | 99930 | 119044 |
| 62 | 1558654385746 | 30521152 | 99963 | 118693 |
| 63 | 1558654390747 | 30983014 | 99982 | 92354 |
| 64 | 1558654395746 | 31397442 | 99974 | 82902 |
| 65 | 1558654400746 | 31831740 | 99949 | 86860 |
| 66 | 1558654405746 | 32349529 | 99930 | 103558 |
| 67 | 1558654410746 | 32973349 | 99947 | 124764 |
| 68 | 1558654415746 | 33525151 | 99975 | 110360 |
| 69 | 1558654420746 | 33964878 | 99985 | 87945 |
| 70 | 1558654425746 | 34381070 | 99975 | 83238 |
| 71 | 1558654430747 | 34829939 | 99953 | 89756 |
| 72 | 1558654435748 | 35357624 | 99940 | 105516 |
| 73 | 1558654440747 | 35986880 | 99956 | 125876 |
| 74 | 1558654445748 | 36526724 | 99980 | 107947 |
| 75 | 1558654450749 | 36967367 | 99990 | 88111 |
| 76 | 1558654455749 | 37380783 | 99981 | 82683 |
| 77 | 1558654460749 | 37825042 | 99961 | 88852 |
| 78 | 1558654465748 | 38347706 | 99948 | 104554 |
| 79 | 1558654470749 | 38967114 | 99958 | 123857 |
| 80 | 1558654475749 | 39532333 | 99979 | 113044 |
| 81 | 1558654480748 | 39988222 | 99991 | 91196 |
| 82 | 1558654485748 | 40406461 | 99988 | 83648 |
| 83 | 1558654490748 | 40837851 | 99973 | 86278 |
| 84 | 1558654495749 | 41325598 | 99958 | 97530 |
| 85 | 1558654500749 | 41911922 | 99957 | 117265 |
| 86 | 1558654505750 | 42518087 | 99974 | 121209 |
| 87 | 1558654510750 | 43020459 | 99990 | 100474 |
| 88 | 1558654515751 | 43451469 | 99994 | 86185 |
| 89 | 1558654520750 | 43869139 | 99985 | 83551 |
| 90 | 1558654525751 | 44319331 | 99970 | 90020 |
| 91 | 1558654530750 | 44844121 | 99960 | 104979 |
| 92 | 1558654535768 | 45463411 | 99966 | 123414 |
| 93 | 1558654540750 | 46037114 | 99983 | 115155 |
| 94 | 1558654545751 | 46502838 | 99994 | 93126 |
| 95 | 1558654550751 | 46927017 | 99994 | 84836 |
| 96 | 1558654555750 | 47353419 | 99985 | 85297 |
| 97 | 1558654560750 | 47820314 | 99972 | 93379 |
