Start Count: 112449221
Watching for changes in count...  Use Ctrl-C to Exit.

|Query Number|Sample Number|Epoch (ms)    |Time (s) |Count             |Linear Reg. Rate  |Rate From Previous|Rate From First   |
|------------|-------------|--------------|---------|------------------|------------------|------------------|------------------|
Index may not exist
Count decreased...
Start Count: 0
Watching for changes in count...  Use Ctrl-C to Exit.

|Query Number|Sample Number|Epoch (ms)    |Time (s) |Count             |Linear Reg. Rate  |Rate From Previous|Rate From First   |
|------------|-------------|--------------|---------|------------------|------------------|------------------|------------------|
|          1 |           1 |1558654102757 |       0 |          938,179 |                  |                  |                  |
|          2 |       ***** |1558654112756 |       9 |          938,179 |                  |                  |                  |
|          3 |       ***** |1558654122756 |      19 |          938,179 |                  |                  |                  |
|          4 |       ***** |1558654132756 |      29 |          938,179 |                  |                  |                  |
|          5 |       ***** |1558654142761 |      40 |          938,179 |                  |                  |                  |
|          6 |       ***** |1558654152758 |      50 |          938,179 |                  |                  |                  |
|          7 |           2 |1558654162785 |      60 |        7,536,625 |          109,923 |          109,923 |          109,923 |
|          8 |       ***** |1558654172757 |      70 |        7,536,625 |          109,923 |                0 |           94,264 |
|          9 |       ***** |1558654182757 |      80 |        7,536,625 |          109,923 |                0 |           82,481 |
|         10 |       ***** |1558654192756 |      89 |        7,536,625 |          109,923 |                0 |           73,317 |
|         11 |       ***** |1558654202758 |     100 |        7,536,625 |          109,923 |                0 |           65,984 |
|         12 |       ***** |1558654212763 |     110 |        7,536,625 |          109,923 |                0 |           59,983 |

For last 60  seconds the count has not increased...
Removing sample: 120|7536625
Total Count: 7,536,625 | Not enough samples Rate calculations. 

Start Count: 7536625
Watching for changes in count...  Use Ctrl-C to Exit.

|Query Number|Sample Number|Epoch (ms)    |Time (s) |Count             |Linear Reg. Rate  |Rate From Previous|Rate From First   |
|------------|-------------|--------------|---------|------------------|------------------|------------------|------------------|
|          1 |           1 |1558654232759 |       0 |        6,649,386 |                  |                  |                  |
|          2 |       ***** |1558654242761 |      10 |        6,649,386 |                  |                  |                  |
|          3 |       ***** |1558654252764 |      20 |        6,649,386 |                  |                  |                  |
|          4 |       ***** |1558654262767 |      30 |        6,649,386 |                  |                  |                  |
|          5 |       ***** |1558654272761 |      40 |        6,649,386 |                  |                  |                  |
|          6 |       ***** |1558654282759 |      50 |        6,649,386 |                  |                  |                  |
|          7 |           2 |1558654292759 |      60 |       12,931,151 |          104,696 |          104,696 |          104,696 |
|          8 |       ***** |1558654302772 |      70 |       12,931,151 |          104,696 |                0 |           89,723 |
|          9 |       ***** |1558654312774 |      80 |       12,931,151 |          104,696 |                0 |           78,507 |
|         10 |       ***** |1558654322760 |      90 |       12,931,151 |          104,696 |                0 |           69,797 |
|         11 |       ***** |1558654332762 |     100 |       12,931,151 |          104,696 |                0 |           62,816 |
|         12 |       ***** |1558654342773 |     110 |       12,931,151 |          104,696 |                0 |           57,100 |
|         13 |           3 |1558654352762 |     120 |       16,478,319 |           81,906 |           59,117 |           81,906 |
|         14 |           4 |1558654362761 |     130 |       19,294,142 |           89,345 |          281,610 |           97,266 |
|         15 |       ***** |1558654372767 |     140 |       19,294,142 |           89,345 |                0 |           90,315 |
|         16 |       ***** |1558654382762 |     150 |       19,294,142 |           89,345 |                0 |           84,297 |
|         17 |       ***** |1558654392761 |     160 |       19,294,142 |           89,345 |                0 |           79,029 |
|         18 |       ***** |1558654402763 |     170 |       19,294,142 |           89,345 |                0 |           74,379 |
|         19 |       ***** |1558654412762 |     180 |       19,294,142 |           89,345 |                0 |           70,247 |
|         20 |           5 |1558654422803 |     190 |       25,782,663 |           97,442 |          108,066 |          100,678 |
|         21 |       ***** |1558654432770 |     200 |       25,782,663 |           97,442 |                0 |           95,661 |
|         22 |       ***** |1558654442764 |     210 |       25,782,663 |           97,442 |                0 |           91,109 |
|         23 |       ***** |1558654452761 |     220 |       25,782,663 |           97,442 |                0 |           86,969 |
|         24 |       ***** |1558654462768 |     230 |       25,782,663 |           97,442 |                0 |           83,185 |
|         25 |       ***** |1558654472762 |     240 |       25,782,663 |           97,442 |                0 |           79,721 |
|         26 |           6 |1558654482765 |     250 |       30,806,134 |           97,326 |           83,778 |           96,625 |
|         27 |           7 |1558654492765 |     260 |       32,239,359 |           98,253 |          143,323 |           98,421 |
|         28 |       ***** |1558654502768 |     270 |       32,239,359 |           98,253 |                0 |           94,775 |
|         29 |       ***** |1558654512766 |     280 |       32,239,359 |           98,253 |                0 |           91,390 |
|         30 |       ***** |1558654522766 |     290 |       32,239,359 |           98,253 |                0 |           88,239 |
|         31 |       ***** |1558654532764 |     300 |       32,239,359 |           98,253 |                0 |           85,298 |
|         32 |       ***** |1558654542765 |     310 |       32,239,359 |           98,253 |                0 |           82,547 |
|         33 |           8 |1558654552765 |     320 |       38,677,601 |           99,776 |          107,304 |          100,086 |
|         34 |       ***** |1558654562764 |     330 |       38,677,601 |           99,776 |                0 |           97,054 |
|         35 |       ***** |1558654572766 |     340 |       38,677,601 |           99,776 |                0 |           94,199 |
|         36 |       ***** |1558654582775 |     350 |       38,677,601 |           99,776 |                0 |           91,505 |
|         37 |       ***** |1558654592765 |     360 |       38,677,601 |           99,776 |                0 |           88,966 |
|         38 |       ***** |1558654602772 |     370 |       38,677,601 |           99,776 |                0 |           86,560 |
|         39 |           9 |1558654612766 |     380 |       45,182,689 |          101,318 |          108,416 |          101,402 |
|         40 |       ***** |1558654622805 |     390 |       45,182,689 |          101,318 |                0 |           98,792 |
|         41 |       ***** |1558654632765 |     400 |       45,182,689 |          101,318 |                0 |           96,332 |
|         42 |       ***** |1558654642786 |     410 |       45,182,689 |          101,318 |                0 |           93,977 |
|         43 |       ***** |1558654652765 |     420 |       45,182,689 |          101,318 |                0 |           91,745 |
|         44 |       ***** |1558654662767 |     430 |       45,182,689 |          101,318 |                0 |           89,611 |
|         45 |          10 |1558654672785 |     440 |       47,221,365 |           96,990 |           33,967 |           92,204 |
|         46 |          11 |1558654682770 |     450 |       51,281,202 |           97,886 |          406,594 |           99,179 |
|         47 |       ***** |1558654692766 |     460 |       51,281,202 |           97,886 |                0 |           97,024 |
|         48 |       ***** |1558654702769 |     470 |       51,281,202 |           97,886 |                0 |           94,959 |
|         49 |       ***** |1558654712766 |     480 |       51,281,202 |           97,886 |                0 |           92,982 |
|         50 |       ***** |1558654722767 |     490 |       51,281,202 |           97,886 |                0 |           91,084 |
|         51 |       ***** |1558654732770 |     500 |       51,281,202 |           97,886 |                0 |           89,262 |
|         52 |          12 |1558654742770 |     510 |       57,892,004 |           99,082 |          110,180 |          100,474 |
|         53 |       ***** |1558654752791 |     520 |       57,892,004 |           99,082 |                0 |           98,537 |
|         54 |       ***** |1558654762776 |     530 |       57,892,004 |           99,082 |                0 |           96,681 |
|         55 |       ***** |1558654772769 |     540 |       57,892,004 |           99,082 |                0 |           94,892 |
|         56 |       ***** |1558654782770 |     550 |       57,892,004 |           99,082 |                0 |           93,167 |
|         57 |       ***** |1558654792768 |     560 |       57,892,004 |           99,082 |                0 |           91,503 |
|         58 |          13 |1558654802772 |     570 |       60,652,651 |           97,465 |           46,009 |           94,740 |
|         59 |          14 |1558654812800 |     580 |       64,156,196 |           98,039 |          349,376 |           99,143 |
|         60 |       ***** |1558654822770 |     590 |       64,156,196 |           98,039 |                0 |           97,467 |
|         61 |       ***** |1558654832804 |     600 |       64,156,196 |           98,039 |                0 |           95,837 |
|         62 |       ***** |1558654842771 |     610 |       64,156,196 |           98,039 |                0 |           94,272 |
|         63 |       ***** |1558654852817 |     620 |       64,156,196 |           98,039 |                0 |           92,744 |
|         64 |       ***** |1558654862775 |     630 |       64,156,196 |           98,039 |                0 |           91,278 |
|         65 |          15 |1558654872771 |     640 |       70,887,305 |           98,911 |          112,239 |          100,370 |
