Watching for changes in count...  Use Ctrl-C to Exit.
|Sample Number|Epoch|Count|Linear Regression Rate|Approx. Instantaneous Rate|
|-------------|-----|-----|----------------------|--------------------------|
| 1 | 1558697281542 | 460993 |           |           |
| 2 | 1558697286541 | 965597 | 100941 | 100941 |
| 3 | 1558697291541 | 1514854 | 105397 | 109851 |
| 4 | 1558697296541 | 1856506 | 94721 | 68330 |
| 5 | 1558697301541 | 2416118 | 96027 | 111922 |
| 6 | 1558697306541 | 2988995 | 99050 | 114575 |
| 7 | 1558697311544 | 3382740 | 97948 | 78702 |
| 8 | 1558697316542 | 4006684 | 99729 | 124839 |
| 9 | 1558697321541 | 4349393 | 98482 | 68556 |
| 10 | 1558697326542 | 5031432 | 99915 | 136381 |
| 11 | 1558697331541 | 5376417 | 99292 | 69011 |
| 12 | 1558697336542 | 6019294 | 100058 | 128550 |
| 13 | 1558697341542 | 6448969 | 100056 | 85935 |
| 14 | 1558697346542 | 6836414 | 99409 | 77489 |
| 15 | 1558697351541 | 7527118 | 99958 | 138168 |
| 16 | 1558697356542 | 7897848 | 99755 | 74131 |
| 17 | 1558697361542 | 8387958 | 99582 | 98022 |
| 18 | 1558697366542 | 9012052 | 99903 | 124819 |
| 19 | 1558697371542 | 9389954 | 99749 | 75580 |
| 20 | 1558697376543 | 9890722 | 99643 | 100134 |
| 21 | 1558697381543 | 10517017 | 99896 | 125259 |
| 22 | 1558697386543 | 10912806 | 99841 | 79158 |
| 23 | 1558697391543 | 11360021 | 99686 | 89443 |
| 24 | 1558697396543 | 12025262 | 99900 | 133048 |
| 25 | 1558697401544 | 12457282 | 99942 | 86387 |
| 26 | 1558697406544 | 12865330 | 99818 | 81610 |
| 27 | 1558697411543 | 13436353 | 99834 | 114227 |
| 28 | 1558697416544 | 14008607 | 99955 | 114428 |
| 29 | 1558697421543 | 14426377 | 99939 | 83571 |
| 30 | 1558697426543 | 14860506 | 99842 | 86826 |
| 31 | 1558697431543 | 15485568 | 99915 | 125012 |
| 32 | 1558697436543 | 16003191 | 99995 | 103525 |
| 33 | 1558697441543 | 16417333 | 99970 | 82828 |
| 34 | 1558697446544 | 16857894 | 99889 | 88095 |
| 35 | 1558697451543 | 17474167 | 99933 | 123279 |
| 36 | 1558697456543 | 18015656 | 100007 | 108298 |
| 37 | 1558697461543 | 18438369 | 100004 | 84543 |
| 38 | 1558697466543 | 18846077 | 99927 | 81542 |
| 39 | 1558697471544 | 19415983 | 99915 | 113958 |
| 40 | 1558697476543 | 20037779 | 99994 | 124384 |
| 41 | 1558697481543 | 20475319 | 100019 | 87508 |
| 42 | 1558697486543 | 20873906 | 99972 | 79717 |
| 43 | 1558697491543 | 21342332 | 99912 | 93685 |
| 44 | 1558697496544 | 22009212 | 99962 | 133349 |
| 45 | 1558697501543 | 22512995 | 100007 | 100777 |
| 46 | 1558697506543 | 22938373 | 100005 | 85076 |
| 47 | 1558697511543 | 23364410 | 99964 | 85207 |
| 48 | 1558697516543 | 23875619 | 99934 | 102242 |
| 49 | 1558697521544 | 24520450 | 99978 | 128940 |
| 50 | 1558697526543 | 25001649 | 100009 | 96259 |
| 51 | 1558697531544 | 25423905 | 100001 | 84434 |
| 52 | 1558697536543 | 25858381 | 99965 | 86913 |
| 53 | 1558697541544 | 26384300 | 99944 | 105163 |
| 54 | 1558697546543 | 27023344 | 99982 | 127834 |
| 55 | 1558697551544 | 27507173 | 100009 | 96746 |
| 56 | 1558697556545 | 27927702 | 100004 | 84089 |
| 57 | 1558697561544 | 28359134 | 99974 | 86304 |
| 58 | 1558697566545 | 28862283 | 99948 | 100610 |
| 59 | 1558697571544 | 29505713 | 99974 | 128712 |
| 60 | 1558697576544 | 30027599 | 100004 | 104377 |
| 61 | 1558697581544 | 30464356 | 100012 | 87351 |
| 62 | 1558697586545 | 30885870 | 99994 | 84286 |
| 63 | 1558697591545 | 31346338 | 99967 | 92094 |
| 64 | 1558697596545 | 31912035 | 99960 | 113139 |
| 65 | 1558697601545 | 32534989 | 99989 | 124591 |
| 66 | 1558697606544 | 33018175 | 100011 | 96657 |
| 67 | 1558697611544 | 33438875 | 100010 | 84140 |
| 68 | 1558697616544 | 33861233 | 99989 | 84472 |
| 69 | 1558697621545 | 34340095 | 99965 | 95753 |
| 70 | 1558697626546 | 34950766 | 99970 | 122110 |
| 71 | 1558697631547 | 35542641 | 99995 | 118351 |
| 72 | 1558697636546 | 36007789 | 100011 | 93048 |
| 73 | 1558697641546 | 36426877 | 100008 | 83818 |
| 74 | 1558697646546 | 36851732 | 99988 | 84971 |
| 75 | 1558697651545 | 37339435 | 99967 | 97560 |
| 76 | 1558697656546 | 37957331 | 99973 | 123554 |
| 77 | 1558697661546 | 38551243 | 99996 | 118782 |
| 78 | 1558697666546 | 39022638 | 100013 | 94279 |
| 79 | 1558697671547 | 39441488 | 100012 | 83753 |
| 80 | 1558697676547 | 39855396 | 99996 | 82782 |
| 81 | 1558697681548 | 40317002 | 99974 | 92303 |
| 82 | 1558697686549 | 40907024 | 99969 | 117981 |
